ツイートID,ツイート時刻,ツイート本文,いいね数,リツイート数,ID,ユーザー名,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分のフォロー状況,アイコン画像URL,ヘッダー画像URL,WEBサイト
1621316148984938496,2023-02-03_10:14:27,AIの考えた Twitterアカウント凍結祭り。 https://t.co/4HcGlhOu4V,21267,10236,111303365,ryouran2525,百花 繚乱,【MC屋さん/司会経験3000超】【株式会社スタジオオンサイト代表取締役社長/番組制作・スタジオ運営】【本名 高月俊/ †聖騎士 紅桜†】【絵タグ #紅ショウ画】【ご依頼 ryouran2525@gmail.com】【妻と娘達と焼肉いきたい】,78581,187319,2010-02-04_22:16:25,False,http://pbs.twimg.com/profile_images/1565323661493817344/F4Gidsna_normal.jpg,http://abs.twimg.com/images/themes/theme10/bg.gif,https://t.co/zICBhxQhzc
1621261166604599297,2023-02-03_06:35:58,"おはようございます☀

『Twitter凍結祭り』と聞いて、フォロワーの数を確かめてみたところ、僕のアカウントでは2000人位減ってます。ご参考までに🍀",3885,1274,461937428,_NaokiSaito,さいとう なおき🍀,"ユーチューバー・ ポケモンカードイラストレーター
GENSEKI顧問
🍀Youtube: https://t.co/UwPoL95owS
🍀質問: https://t.co/fGYNq1R2zS
🍀パレット団: https://t.co/K2f8Yv03NA",1486,444739,2012-01-12_20:12:54,False,http://pbs.twimg.com/profile_images/1548891497138774016/9r_aU1Yw_normal.png,http://abs.twimg.com/images/themes/theme4/bg.gif,
1621248479568998400,2023-02-03_05:45:33,"突然のサブ垢永久凍結という処分に泣きながらアカウント凍結の解説記事を書きました
もうTwitterやめます（やめない）

Twitterで凍結祭りが開催中と騒ぎに。外部サービスと連携しているアカウントが永久凍結に？（篠原修司） - 個人 - Yahoo!ニュース
https://t.co/NUZcIcUj5u",1136,2445,7985002,digimaga,篠原修司,"7匹の猫と暮らしています。
Yahoo!で書いたり、ASCIIで書いたり、福岡でライターやって生きてます。
ネタのタレコミはDMへどうぞ。
仕事のご相談は digimaganet@gmail.com まで。

※Amazonアソシエイト・プログラムの参加者です。",194,11257,2007-08-06_13:48:31,False,http://pbs.twimg.com/profile_images/1343475084/fcf75c9c271d426982316ab215201dbd_7_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/VvZCV4gBx2
1621369973649326081,2023-02-03_13:48:19,"RT @nico_nico_news: 【Twitter凍結まつり避難場所】暖かい場所をご用意しました 

https://t.co/EaaiockRTs

#Twitter で多数のアカウントが凍結
「凍結祭り」「Twitter氷河期」「春のBAN祭り」がトレンド入りする事態…",0,1183,1574415779549745153,hil_Ika3,あさぎゅーす,⭐️いろんなゲームときどき絵🦑 幻覚強め捏造うちのこの話サークルに壁打ち / 成人済 / 4♂×3(司)♀※ヒロモネタバレあり /マシュマロ設置しました,39,89,2022-09-27_00:09:19,False,http://pbs.twimg.com/profile_images/1600799246336524289/Va3BQ-c3_normal.jpg,,https://t.co/uV2dqdFEHX
1621369973364129792,2023-02-03_13:48:19,"RT @Syumarumaru_629: 皆さんこんにちは、私です。
今日噂によると、Twitterの凍結祭りで色フォロワーさんが気付かない内に凍結されてたみたいですね。ｺﾜｲ…
原因を調べてみた所、結構身近な物が多くて戦慄しました…
ハッシュタグ３つ以上❌はキツくないですか！…",0,20393,543997037,ki_bo_86,きーぼう,よしのんPやってます 音ゲーは好きだけど下手くそ,765,496,2012-04-03_14:24:56,False,http://pbs.twimg.com/profile_images/1560771328046931968/0rNgcadx_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621369972365873154,2023-02-03_13:48:19,RT @takenokokun0521: イーロン・マスクにTwitterが買収されたらサービスの質が多少は向上すると思ってたんだけど、3ヶ月経った今起きてる事は理由不明の凍結祭りと先代以上の改悪ばかりで、まるでいつも揶揄っていたドジな幼馴染が金持ちの男性に嫁がされ、エグい開発…,0,1167,4452345493,BIG_SUKI_STAR,るれ🔫🌠単独ヒロイン至上主義,"🔫💀🌻🎲👻🎋❄🍜🍼🌈🕒🎮🍣
アイコンは自キャラ
シリンソウすき
美波すき
劇ポチすき
BIGすき
吟遊四人すき
どぅーんたらたらぽーん
ボーイミーツガールが好きなクソカプ厨で型月厨
最近2鯖でNGSやってます。ssは（C）SEGAに帰属します",3528,270,2015-12-04_20:17:49,False,http://pbs.twimg.com/profile_images/1598490889181356032/-kqKfOpv_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621369972202311680,2023-02-03_13:48:19,"RT @1000000lome: 🗣️🤚凍結まつり🥶ですわーーーーー‼‼‼

あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全…",0,13622,3184023187,Miraijin8864,ヒトミン,茨城在中の20↑,271,99,2015-05-03_19:15:13,False,http://pbs.twimg.com/profile_images/925007030447882242/lP5TZmbs_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621369970671374341,2023-02-03_13:48:19,凍結祭りでぜひとも詐欺ビジネスバカを絶滅させてほしい,0,0,1246383032858099713,geboku08_kansok,おさげ,"モンエナとウマとVと純と絵と本でできてる
落ちるとこまで落ちた19歳男性",835,293,2020-04-04_19:24:31,False,http://pbs.twimg.com/profile_images/1371707158253891587/wq-pIaMZ_normal.jpg,,https://t.co/oUfb6h1sSe
1621369970583281666,2023-02-03_13:48:19,"RT @Syumarumaru_629: 皆さんこんにちは、私です。
今日噂によると、Twitterの凍結祭りで色フォロワーさんが気付かない内に凍結されてたみたいですね。ｺﾜｲ…
原因を調べてみた所、結構身近な物が多くて戦慄しました…
ハッシュタグ３つ以上❌はキツくないですか！…",0,20393,1449563989457838084,Toku_0114,匿名,"ツイ消し魔
絵描き./雑多垢/フォロバ100/相互さんでしたら悪用以外のイラストの使用はOKです🖌
ご自由にお使いください🙌
プロセカ・Sky・原神・東方",112,51,2021-10-17_11:33:12,False,http://pbs.twimg.com/profile_images/1619666958617808897/6XHM9crW_normal.jpg,,
1621369969996095488,2023-02-03_13:48:19,"RT @ad3ua_: ツイッターの凍結祭り怖すぎる💦
インスタに避難しよかな？🤔

いざという時のために準備は絶対必要！
その為にも蓄えはしっかり作らないとね😓
将来困りたくない人はブログ見てください😌 https://t.co/f76B2ECy5L",0,3,1575667773522743296,penpen721pan,ぺんぺん　相互フォロー支援アカウント,"目指せフォロワー10000人
相互フォロー・フォロバ絶対にします(`･ω･´)

【フォロワーの増やし方】
①このアカウントをフォロー
②このアカウントがフォローしてるアカウントをフォロー
③フォローが来たらフォロバ
④②～③を繰り返す

副業系・稼げる系・DM送ってきたアカウントはブロックします。",327,324,2022-09-30_11:04:12,False,http://pbs.twimg.com/profile_images/1583397707246604288/wprlsJTA_normal.jpg,,
