ツイートID,ツイート時刻,ツイート本文,いいね数,リツイート数,ID,ユーザー名,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分のフォロー状況,アイコン画像URL,ヘッダー画像URL,WEBサイト
1621035795229577224,2023-02-02_15:40:25,会員登録不要、無料で始められる「Python」学習環境「PyWeb」がベータ公開／WebブラウザーさえあればOK https://t.co/nz1iaTzpWS https://t.co/vp31R8H8Hj,97,45,45548519,madonomori,窓の杜,オンラインソフト紹介サイト“窓の杜”公式Twitterアカウントです。個別の返信は原則として致しませんが、コメントやDMは編集部一同で読ませていただきます。,587,62849,2009-06-08_20:50:52,False,http://pbs.twimg.com/profile_images/455934939234451456/gJW7YnRx_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/zB6dWcPHqw
1620693256534372352,2023-02-01_16:59:18,無料でPythonを実行・学習できるWebサービス「PyWeb」が公開　ほか ～20件を掲載（2月1日のダイジェストニュース） https://t.co/XgfRJiQAEx https://t.co/H2Tllmjotp,180,46,45548519,madonomori,窓の杜,オンラインソフト紹介サイト“窓の杜”公式Twitterアカウントです。個別の返信は原則として致しませんが、コメントやDMは編集部一同で読ませていただきます。,587,62849,2009-06-08_20:50:52,False,http://pbs.twimg.com/profile_images/455934939234451456/gJW7YnRx_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/zB6dWcPHqw
1620678633298989059,2023-02-01_16:01:11,今日の東京は4012人 https://t.co/SHAIctzxHN https://t.co/aWfCwOSGFS,33,26,28894757,h_okumura,Haruhiko Okumura,奥村晴彦＠三重大学名誉教授（ときどき非常勤講師）。転載はご自由に（CC BY）,611,34259,2009-04-05_08:33:18,False,http://pbs.twimg.com/profile_images/1171047952246165504/vyk-_q2q_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/mQ35AQcKnk
1621055531397025798,2023-02-02_16:58:51,"vector_neologdのmodel.vecを
①gensimで読み込む
②pickle化したものを読み込む
という2つの手法で所要時間を計測してみたところ、②の方が速かったです。
単語の足し引きを①②両方で試しましたが、同じ結果が出ました。
#Python #プログラミング #自然言語処理",0,0,1162675696855998464,superfire777,SUPERFIRE777,"ただのPythonが好きな高3です。
自然言語処理に興味あります。
いつかプログラミング言語を作ってみたいと思っています。",132,99,2019-08-17_19:41:12,False,http://pbs.twimg.com/profile_images/1591957944639393801/IeI1diD0_normal.jpg,,https://t.co/HOzf9dMOhP
1621055418876465152,2023-02-02_16:58:24,"RT @paiza_official: プレイはすべて無料！
Python、PHP、JavaScript、Ruby、C#など28言語で挑戦できるプログラミングゲーム！

異世界に勇者パーティーとして召喚された新人ITエンジニアの男女が2人ーー
目覚めるとそこは、剣（コード）と魔…",0,4,1312736424307777539,Rikuto_Asai,takahiro_yamazaki＠病んでる,30代男性/人見知り/自閉症/統合失調症/不安障害/イラスト/ゲーム/海外FX/テクニカル分析にこだわり/水平線使った山谷を意識したトレードしています/ #gemforex,1669,874,2020-10-04_21:49:58,False,http://pbs.twimg.com/profile_images/1547568237759836160/NIdWhUcJ_normal.jpg,,https://t.co/2XL61Xz958
1621055414350794753,2023-02-02_16:58:23,"Mayaではpythonコマンドも使用できる。

pythonはシンプルでわかりやすいため広く使われている言語で、モジュール(追加機能)も多数存在する。

melコマンドのpython版も存在するため、melに慣れてきたらこちらも勉強してみよう。
なんならこちらから始めてもよし。",0,0,1256436439,mayakisobot,Mayaの基本bot,,0,32,2013-03-10_17:06:41,False,http://pbs.twimg.com/profile_images/1192822815369650177/NZiYa70B_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621055150306762753,2023-02-02_16:57:20,"RT @TryPython: 2023-02-02 16:56:29 のおすすめのアイテムは↓ 
お家時間を有効にクリエイティブに Pythonではじめるデスクトップアプリ開発入門 https://t.co/eExLah7lfY",0,1,1429957823589277697,Pythonlearnin11,Python learning,ぱいそんの練習,183,194,2021-08-24_09:05:52,False,http://pbs.twimg.com/profile_images/1429958217019256833/SUziciJH_normal.jpg,,
1621055086020509697,2023-02-02_16:57:04,"RT @take_tech_engin: PyTorchのDataloaderで発生するメモリリーク（大量消費）について、詳しく説明された記事。たぶんPyTorch扱ったことある人は、一度は遭遇すると思うので参考に
https://t.co/G6pN7h7kTO
#PyTorc…",0,14,1371551211351121920,PythonRoboto,Python Roboto,"Retweeting all things coding (with a focus on Python).  Use #python, #100DaysOfCode for retweet

Created by @MingjuRoberts",2,3390,2021-03-16_04:58:04,False,http://pbs.twimg.com/profile_images/1371892796655861763/6t8UC_jf_normal.jpg,,https://t.co/XaBT4gNO1R
1621054945469558784,2023-02-02_16:56:31,RT @h_okumura: 今日の東京は3502人 https://t.co/SHAIctzxHN https://t.co/ZnGepErpg1,0,9,892287411840925696,J_Phil_X,J-フィル,"荒木飛呂彦／大亜門／久米田康治／松井優征／空知英秋
Nikola Tesla（ニコラ・テスラ）／薬理凶室

Twilog : https://t.co/t5NzFtIqJH",527,111,2017-08-01_16:34:31,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
1621054943431122944,2023-02-02_16:56:30,"2023-02-02 16:56:29 のおすすめのアイテムは↓ 
お家時間を有効にクリエイティブに Pythonではじめるデスクトップアプリ開発入門 https://t.co/eExLah7lfY",2,1,1371788620009381892,TryPython,TRY_PYTHON_TRY,※このアカウントはBOTになりました。,567,323,2021-03-16_20:41:38,False,http://pbs.twimg.com/profile_images/1371790075923623939/70zB-Xnt_normal.jpg,,
