ツイートID,ツイート時刻,ツイート本文,いいね数,リツイート数,ID,ユーザー名,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分のフォロー状況,アイコン画像URL,ヘッダー画像URL,WEBサイト
1621316148984938496,2023-02-03_10:14:27,AIの考えた Twitterアカウント凍結祭り。 https://t.co/4HcGlhOu4V,20682,9988,111303365,ryouran2525,百花 繚乱,【MC屋さん/司会経験3000超】【株式会社スタジオオンサイト代表取締役社長/番組制作・スタジオ運営】【本名 高月俊/ †聖騎士 紅桜†】【絵タグ #紅ショウ画】【ご依頼 ryouran2525@gmail.com】【妻と娘達と焼肉いきたい】,78581,187316,2010-02-04_22:16:25,False,http://pbs.twimg.com/profile_images/1565323661493817344/F4Gidsna_normal.jpg,http://abs.twimg.com/images/themes/theme10/bg.gif,https://t.co/zICBhxQhzc
1621261166604599297,2023-02-03_06:35:58,"おはようございます☀

『Twitter凍結祭り』と聞いて、フォロワーの数を確かめてみたところ、僕のアカウントでは2000人位減ってます。ご参考までに🍀",3878,1274,461937428,_NaokiSaito,さいとう なおき🍀,"ユーチューバー・ ポケモンカードイラストレーター
GENSEKI顧問
🍀Youtube: https://t.co/UwPoL95owS
🍀質問: https://t.co/fGYNq1R2zS
🍀パレット団: https://t.co/K2f8Yv03NA",1486,444737,2012-01-12_20:12:54,False,http://pbs.twimg.com/profile_images/1548891497138774016/9r_aU1Yw_normal.png,http://abs.twimg.com/images/themes/theme4/bg.gif,
1621248479568998400,2023-02-03_05:45:33,"突然のサブ垢永久凍結という処分に泣きながらアカウント凍結の解説記事を書きました
もうTwitterやめます（やめない）

Twitterで凍結祭りが開催中と騒ぎに。外部サービスと連携しているアカウントが永久凍結に？（篠原修司） - 個人 - Yahoo!ニュース
https://t.co/NUZcIcUj5u",1136,2444,7985002,digimaga,篠原修司,"7匹の猫と暮らしています。
Yahoo!で書いたり、ASCIIで書いたり、福岡でライターやって生きてます。
ネタのタレコミはDMへどうぞ。
仕事のご相談は digimaganet@gmail.com まで。

※Amazonアソシエイト・プログラムの参加者です。",194,11257,2007-08-06_13:48:31,False,http://pbs.twimg.com/profile_images/1343475084/fcf75c9c271d426982316ab215201dbd_7_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/VvZCV4gBx2
1621369144754196480,2023-02-03_13:45:02,"RT @1000000lome: 🗣️🤚凍結まつり🥶ですわーーーーー‼‼‼

あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全…",0,13463,1559232114217824256,__Akira_oO,あきら,🐈‍⬛💙(@Oo_Ruka_ )￤#あーくんるちゃん日記￤【PRANK PUNK】▶︎ https://t.co/qDY8b2gPJ9,65,42,2022-08-16_02:34:47,False,http://pbs.twimg.com/profile_images/1618035903364214784/8WBjYTPa_normal.jpg,,https://t.co/K3SSVihXJU
1621369143638511616,2023-02-03_13:45:02,RT @ikr_4185: この規模の凍結を人力でやってるわけがないので、自動処理だと思うんだけど、これまでも時折凍結祭りしてきてたTwitter運営が今回は割と丁寧に凍結解除のやり方説明してるから、誤BANリスク踏んででもスパムbotを駆逐してやるというアレなのかなぁとは思う,0,125,121732016,gainer_kokusai,国債@gainer,"アニメとミリタリーに自転車を生き甲斐に何とか平日生き長らえてます。  
【愛車】 
車:HONDA SHUTTLE GP7
自転車:FUJI SL3.1, RockyMountain BLIZZARD
【カメラ】
一眼:EOS 90D,EOS 6D
コンデジ:DSC-WX500",700,250,2010-03-10_21:07:09,False,http://pbs.twimg.com/profile_images/425210769706196992/8dbIqVpX_normal.png,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/t1sWjt6H1b
1621369142220840963,2023-02-03_13:45:01,"RT @kubomatsu: 凍結祭りについてとりあえずざっと調べた感じ
・マロや質問箱のツイート等ツイート文章が全く同じになる投稿を頻繁にしている=bot誤認
・フォローしてない人フォロワーじゃない人へDM送る
・自分の垢でのツイートを自分の別垢でRT
・電話番号承認していな…",0,23695,1430154374622244876,MtqeN,病休中教員アーニャ@まー,ずっと前から病休中教員のアーニャです。うつ状態？で療養中。 今年度末で退職予定。 身バレしたら詰むます！！ 無言フォロー、アーニャ語、「おまえ」呼び失礼するます！💦 （できるだけ場はわきまえるます） 🌟成人済20↑,164,202,2021-08-24_22:06:00,False,http://pbs.twimg.com/profile_images/1607177598857248772/9gkIlaf3_normal.jpg,,
1621369141373566976,2023-02-03_13:45:01,RT @ryouran2525: AIの考えた Twitterアカウント凍結祭り。 https://t.co/4HcGlhOu4V,0,9988,1404843274804764673,joell_virtual,ジョエル,自由を求めてVtuberの世界にやってきました。個人セルフ受肉のまったり勢だよ〜 絵を描いたりゲームしたりしてます！,230,198,2021-06-16_01:49:42,False,http://pbs.twimg.com/profile_images/1576634104409255936/QwOPoqSw_normal.jpg,,
1621369140941557760,2023-02-03_13:45:01,RT @ryouran2525: AIの考えた Twitterアカウント凍結祭り。 https://t.co/4HcGlhOu4V,0,9988,144078504,eightook,永徳,主に東方projectを愛好。推しは鈴仙・優優曇華院・イナバ、および蓮メリ。,413,120,2010-05-15_15:59:54,False,http://pbs.twimg.com/profile_images/1521340617263316992/F-gNdOXO_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1621369140547309568,2023-02-03_13:45:01,"RT @1000000lome: 🗣️🤚凍結まつり🥶ですわーーーーー‼‼‼

あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全…",0,13463,840390751552921600,InekotoSetsu,イネコト 📌👻🏳️‍🌈,"NSFW acc: @EamonSetsu
EN/中/MY
Gay yumedanshi. I draw and shitpost.
射貓戶，喜好男色的腐夢貓男

推しCP（BL，左右固定）：明日方舟 all男博 (マッタ博)，FGO allぐだお，白夜極光 allナビ (バトナビ)
*ゲーム主人公攻は地雷",3181,345,2017-03-11_11:35:43,False,http://pbs.twimg.com/profile_images/1400029492396003332/CuO6526p_normal.jpg,,
1621369140069163008,2023-02-03_13:45:01,"RT @1000000lome: 🗣️🤚凍結まつり🥶ですわーーーーー‼‼‼

あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全員凍結🥶💦凍結騒ぎ💃🏃‍♀️🕺凍結祭り😤あホッラ‼‼凍結🥶全…",0,13463,983318005873442817,Kohlalalala,KOH,ひっそりなつめいと。最近はV(主に🌈🕒)にハマってます。⚠フォローする際は🔞コンテンツをいいねすることがあることをご了承ください。(Twitterの仕様上、TLに流れるかもしれません)リツイートがとても多いのでご注意ください。よしなに。,2006,106,2018-04-09_21:17:36,False,http://pbs.twimg.com/profile_images/1432307947728605185/qFtha2R0_normal.jpg,,
